tissue	phecode	beta	p-value	gene	trait	r2	OR	no of cases	no of controls
Nerve_Tibial	X818.1	6.78889	6.12079e-5	SYT15	Subdural hemorrhage (injury)	5.12111e-2	1.37260e+0	128	22261
Skin_Sun_Exposed_Lower_leg	X175	-1.39651	6.13773e-5	UCKL1	Acquired absence of breast	5.70342e-2	7.79001e-1	214	8415
Nerve_Tibial	X600	0.593267	6.17183e-5	TBL3	Hyperplasia of prostate	3.84452e-2	1.13687e+0	1299	8351
Esophagus_Gastroesophageal_Junction	X528.5	6.9916	6.17294e-5	SIVA1	Diseases of lips	5.14205e-2	3.25665e+0	24	21574
Spleen	X536.8	0.992341	6.17905e-5	TWIST2	Dyspepsia and other specified disorders of function of stomach	7.36389e-2	1.32421e+0	227	19809
Artery_Aorta	X426.3	0.677863	6.20425e-5	SLC35B4	Bundle branch block	1.08375e-1	1.18606e+0	662	10731
Vagina	X250.7	0.915468	6.22727e-5	ZSCAN16	Diabetic retinopathy	1.05469e-1	1.19367e+0	479	20111
Thyroid	X707.1	-0.469664	6.23416e-5	SULT1A1	Decubitus ulcer	2.81893e-1	8.66933e-1	795	21465
Brain_Caudate_basal_ganglia	X425.1	0.33886	6.23661e-5	PNMA1	Primary/intrinsic cardiomyopathies	8.17785e-2	1.10975e+0	1740	19395
Esophagus_Muscularis	X735.3	-1.21752	6.25803e-5	CCDC154	Hallux valgus (Bunion)	1.70248e-1	7.10018e-1	212	20000
Artery_Aorta	X170.1	-1.7685	6.26153e-5	METTL6	Bone cancer	4.43419e-2	7.44130e-1	226	22528
Pancreas	X772.1	1.7109	6.26568e-5	EVL	Muscular wasting and disuse atrophy	1.12675e-1	1.46414e+0	57	20241
Artery_Tibial	X516	0.468798	6.26592e-5	PTPRCAP	Abnormal sputum	3.82011e-1	1.21636e+0	452	22318
Esophagus_Mucosa	X701.1	-3.64409	6.28996e-5	EVL	Keratoderma, acquired	1.80276e-1	5.78195e-1	62	20618
Whole_Blood	X619	1.27657	6.32663e-5	TCL1B	Noninflammatory female genital disorders	4.44748e-2	1.21176e+0	407	10520
Brain_Caudate_basal_ganglia	X425	0.316978	6.32752e-5	PNMA1	Cardiomyopathy	8.17785e-2	1.10231e+0	2019	19395
Breast_Mammary_Tissue	X509.1	0.44283	6.33943e-5	TATDN3	Respiratory failure	1.28079e-1	1.10313e+0	2279	13235
Vagina	X250.23	0.857672	6.34182e-5	VARS	Type 2 diabetes with ophthalmic manifestations	9.44759e-2	1.23041e+0	415	13897
Adipose_Visceral_Omentum	X189.1	-2.85337	6.34291e-5	CLEC4G	Cancer of kidney and renal pelvis	2.16110e-2	8.15820e-1	517	22100
Brain_Caudate_basal_ganglia	X603.1	-1.84388	6.34827e-5	TRAPPC6B	Hydrocele	5.97006e-2	6.95708e-1	83	8138
Artery_Tibial	X709.3	-2.20775	6.35955e-5	CCR10	Systemic sclerosis	1.67404e-2	6.95716e-1	94	19689
Muscle_Skeletal	X198.2	0.779813	6.36398e-5	PLXNB2	Secondary malignancy of respiratory organs	7.69544e-2	1.14881e+0	864	17297
Cells_Transformed_fibroblasts	X703.1	-0.482147	6.37383e-5	GRAMD1C	Ingrowing nail	3.88468e-1	7.56692e-1	175	21732
Esophagus_Mucosa	X153.2	1.34789	6.37757e-5	SYCP2	Colon cancer	5.77984e-2	1.15614e+0	513	18701
Uterus	X523.3	-1.18491	6.40786e-5	TRPV2	Periodontitis (acute or chronic)	8.85655e-2	6.67424e-1	106	21330
Adipose_Visceral_Omentum	X707.1	-0.927628	6.43955e-5	SH2B1	Decubitus ulcer	7.08719e-2	8.67104e-1	795	21465
Esophagus_Muscularis	X331	-0.728605	6.44351e-5	C2CD4C	Other cerebral degenerations	1.64489e-1	8.27969e-1	417	17257
Testis	X112	-0.404777	6.45021e-5	SPIRE2	Candidiasis	3.05673e-1	8.67428e-1	851	19642
Testis	X202.23	-1.2265	6.45627e-5	RASA3	Lymphosarcoma	4.46943e-1	7.04663e-1	90	21574
Esophagus_Muscularis	X516	0.47124	6.46382e-5	PTPRCAP	Abnormal sputum	3.15504e-1	1.21592e+0	452	22318
Stomach	X208	-0.431144	6.48056e-5	ZNF124	Benign neoplasm of colon	1.81644e-1	9.03615e-1	1620	19510
Breast_Mammary_Tissue	X470	-0.50229	6.49715e-5	FAM47E	Septal Deviations/Turbinate Hypertrophy	1.10407e-1	8.59900e-1	750	16459
Thyroid	X270.32	-1.12646	6.49890e-5	PLAC9	Paraproteinemia	1.09963e-1	7.58524e-1	215	21469
Esophagus_Mucosa	X454	-1.11278	6.50012e-5	ARL6IP4	Varicose veins	8.75896e-2	8.10478e-1	328	15674
Adipose_Visceral_Omentum	X427.7	-0.609113	6.50451e-5	NUP62	Tachycardia NOS	7.28925e-2	9.12872e-1	2519	10731
Adrenal_Gland	X259.2	2.58287	6.50866e-5	ARL4D	Carcinoid syndrome	6.35480e-2	2.03898e+0	37	19664
Brain_Cerebellum	X375.2	-43.7945	6.52058e-5	SUZ12	Epiphora	4.04611e-2	6.00172e-1	41	20059
Skin_Sun_Exposed_Lower_leg	X530.13	-1.66612	6.52498e-5	SERF1B	Barrett's esophagus	3.06969e-2	7.57937e-1	116	13499
Prostate	X170.1	-0.716126	6.52555e-5	KLHDC7A	Bone cancer	1.56965e-1	7.69055e-1	226	22528
Skin_Sun_Exposed_Lower_leg	X300.4	-0.781488	6.52750e-5	RPS6KB2	Dysthymic disorder	7.70402e-2	8.52807e-1	603	14456
Whole_Blood	X296	0.40025	6.52812e-5	FKRP	Mood disorders	7.02604e-2	1.07429e+0	4031	14456
Ovary	X502	1.32027	6.53396e-5	CIDEC	Postinflammatory pulmonary fibrosis	7.88652e-2	1.20710e+0	386	13235
Lung	X580.3	-1.50005	6.54024e-5	UTS2B	Nephritis and nephropathy without mention of glomerulonephritis	3.67972e-2	8.24248e-1	383	15383
Cells_EBV-transformed_lymphocytes	X420.21	1.43268	6.58065e-5	MPHOSPH8	Acute pericarditis	1.27888e-1	1.37719e+0	82	19395
Whole_Blood	X916	1.13044	6.59018e-5	AKR1C3	Contusion	2.12122e-2	1.14556e+0	932	20941
Thyroid	X516.1	0.375859	6.60711e-5	PTPRCAP	Hemoptysis	4.43341e-1	1.23867e+0	376	22318
Thyroid	X313.1	2.41604	6.61033e-5	ZNF845	Attention deficit hyperactivity disorder	1.14728e-2	1.27939e+0	179	22166
Heart_Atrial_Appendage	X172.11	0.498571	6.61113e-5	NCKIPSD	Melanomas of skin	1.62239e-1	1.20476e+0	466	19049
Brain_Hippocampus	X473.1	2.5254	6.62611e-5	GZMM	Chronic laryngitis	1.14285e-1	1.49620e+0	94	16459
Brain_Caudate_basal_ganglia	X516	0.62652	6.64380e-5	PTPRCAP	Abnormal sputum	1.94498e-1	1.21635e+0	452	22318
Stomach	X245.2	16.5505	6.64406e-5	GALNT9	Chronic thyroiditis	2.86238e-2	1.42275e+0	127	17866
Muscle_Skeletal	X371.3	-0.513521	6.66004e-5	YBEY	Inflammation of eyelids	4.75170e-1	7.93854e-1	364	20046
Breast_Mammary_Tissue	X276.13	0.382087	6.66110e-5	FAM47E	Hyperpotassemia	1.10407e-1	1.12167e+0	1373	13027
Colon_Transverse	X586	0.627459	6.66260e-5	FAM47E	Other disorders of the kidney and ureters	3.03292e-2	1.08829e+0	2478	15383
Nerve_Tibial	X279.1	0.760196	6.67737e-5	IFITM1	Immunity deficiency	1.69298e-1	1.17617e+0	609	20961
Lung	X743.4	-2.72882	6.68410e-5	IFNLR1	Stress fracture	6.23634e-2	6.26291e-1	46	17753
Artery_Tibial	X255.13	2.27289	6.68771e-5	DSCAML1	Medulloadrenal hyperfunction	1.20757e-1	1.91729e+0	21	19664
Adipose_Subcutaneous	X747.2	2.75769	6.69844e-5	ZNF717	Congenital anomalies of peripheral vascular system	2.06051e-1	1.63353e+0	68	21722
Nerve_Tibial	X480.5	-2.65224	6.69923e-5	ALS2CL	Bronchopneumonia and lung abscess	1.19025e-2	7.06250e-1	117	16775
Artery_Aorta	X871.1	-4.09217	6.70731e-5	GPR156	Open wound of hand except finger(s)	3.13824e-2	7.38722e-1	101	19977
Whole_Blood	X433.21	0.432692	6.70762e-5	FBLL1	Cerebral artery occlusion, with cerebral infarction	1.12910e-1	1.13816e+0	935	17383
Small_Intestine_Terminal_Ileum	X70.9	1.09514	6.71476e-5	PRKAR1B	Hepatitis NOS	8.35165e-2	1.39397e+0	161	19087
Brain_Caudate_basal_ganglia	X333.8	-7.33992	6.72340e-5	RPL41	Other degenerative diseases of the basal ganglia	4.78096e-2	4.28304e-1	35	17257
Brain_Putamen_basal_ganglia	X323.8	-1.76366	6.72742e-5	PTPRCAP	Encephalitis, non-infectious	2.78947e-1	5.12559e-1	39	22760
Spleen	X347	45.6473	6.72824e-5	CD300LD	Cataplexy and narcolepsy	1.07787e-1	1.79928e+0	21	17257
Nerve_Tibial	X279	0.720131	6.73039e-5	IFITM1	Disorders involving the immune mechanism	1.69298e-1	1.16616e+0	683	20961
Thyroid	X260.3	-0.852514	6.73632e-5	PRKAR1B	Adult failure to thrive	9.37154e-2	8.34047e-1	441	16572
Brain_Cerebellar_Hemisphere	X535	-0.879715	6.73888e-5	LSM10	Gastritis and duodenitis	4.69131e-2	8.58332e-1	744	19809
Stomach	X81.12	-3.22488	6.74700e-5	NUTM2G	Chronic graft-versus-host disease	5.53300e-2	5.48615e-1	34	20543
Artery_Tibial	X187.2	2.88178	6.75209e-5	TDRKH	Malignant neoplasm of testis	1.52418e-1	1.96245e+0	35	10494
Breast_Mammary_Tissue	X751.21	-1.03518	6.76194e-5	C2CD4C	Cystic kidney disease	1.42939e-1	7.91407e-1	263	21786
Breast_Mammary_Tissue	X368.2	30.4989	6.77345e-5	C9orf152	Diplopia and disorders of binocular vision	5.66943e-2	1.34621e+0	230	21265
Brain_Hippocampus	X729	1.5743	6.78324e-5	CHRM4	Other disorders of soft tissues	8.10309e-2	1.46234e+0	99	17625
Pancreas	X362.8	1.28251	6.79082e-5	FHL3	Retinal hemorrhage/ischemia	2.49363e-1	2.00173e+0	34	20111
Muscle_Skeletal	X270.38	2.20993	6.80379e-5	TMEM185B	Other specified disorders of plasma protein metabolism	2.72513e-2	1.55139e+0	72	21469
Pancreas	X530.5	-1.4726	6.80933e-5	SH2B1	Disorders of esophageal motility	6.08225e-2	7.25816e-1	90	13499
Brain_Hypothalamus	X809	0.575945	6.82805e-5	DCDC2B	Fracture of unspecified bones	9.32337e-2	1.16743e+0	691	19279
Breast_Mammary_Tissue	X447.7	2.07594	6.84471e-5	ERICH2	Aortic ectasia	2.57086e-2	1.55084e+0	93	16965
Lung	X529	-2.76626	6.84828e-5	DENND6B	Diseases and other conditions of the tongue	1.16783e-1	5.86806e-1	59	21574
Lung	X250.3	0.863395	6.87725e-5	NCR3	Insulin pump user	1.60373e-2	1.12230e+0	1334	13897
Muscle_Skeletal	X938.1	-1.64069	6.89457e-5	IFNLR1	Acute dermatitis due to solar radiation	2.25416e-1	5.55039e-1	45	18931
Small_Intestine_Terminal_Ileum	X727.1	-0.216123	6.91592e-5	F2	Synovitis and tenosynovitis	1.33952e-1	8.53510e-1	686	17625
Cells_Transformed_fibroblasts	X801	-0.262064	6.92657e-5	PIGN	Fracture of ankle and foot	4.95491e-1	8.70675e-1	682	19279
Adrenal_Gland	X704.8	-0.810337	6.93063e-5	FUT7	Other specified diseases of hair and hair follicles	2.09627e-1	6.98351e-1	133	21732
Esophagus_Gastroesophageal_Junction	X707.1	0.511722	6.93307e-5	SULT1A2	Decubitus ulcer	1.64906e-1	1.15527e+0	795	21465
Brain_Nucleus_accumbens_basal_ganglia	X200.1	3.012	6.94645e-5	FAM131C	Polycythemia vera	1.46186e-1	1.47452e+0	103	18835
Esophagus_Muscularis	X724.8	-2.03743	6.94963e-5	DCDC2B	Other symptoms referable to back	1.33269e-2	6.55730e-1	43	17801
Cells_Transformed_fibroblasts	X149.9	-4.86001	6.95038e-5	TRAPPC6B	Cancer of of nasal cavities	7.62647e-3	5.88801e-1	58	22163
Heart_Left_Ventricle	X803	0.368914	6.95842e-5	FKRP	Fracture of upper limb	2.70895e-1	1.14480e+0	879	19279
Brain_Putamen_basal_ganglia	X352.1	0.961884	6.96105e-5	FAR1	Trigeminal nerve disorders [CN5]	6.34813e-2	1.35731e+0	132	19768
Brain_Nucleus_accumbens_basal_ganglia	X286.7	-1.33185	6.97720e-5	SULT1A2	Other and unspecified coagulation defects	5.60699e-2	8.56311e-1	751	15873
Thyroid	X278.4	2.16689	6.98024e-5	PDE4DIP	Abnormal weight gain	8.71125e-3	1.21189e+0	293	17791
Adipose_Subcutaneous	X165.1	1.82284	6.98160e-5	UBE2F	Cancer of bronchus; lung	1.39094e-2	1.14893e+0	830	22045
Ovary	X537	1.19814	6.98786e-5	HRH1	Other disorders of stomach and duodenum	6.69108e-2	1.19876e+0	432	19809
Vagina	X340	-0.305323	6.99368e-5	F2	Migraine	8.07451e-2	8.61050e-1	768	21737
Muscle_Skeletal	X297.1	1.10692	6.99628e-5	SGSH	Suicidal ideation	8.51864e-2	1.33097e+0	126	14456
Stomach	X250.1	15.9119	7.00392e-5	MSH5	Type 1 diabetes	2.60531e-2	1.12941e+0	1355	13897
Colon_Transverse	X389.2	-2.52383	7.00425e-5	POLR2L	Conductive hearing loss	3.90110e-2	7.75717e-1	223	20203
Breast_Mammary_Tissue	X516.1	0.537314	7.00983e-5	PTPRCAP	Hemoptysis	3.64286e-1	1.23822e+0	376	22318
Muscle_Skeletal	X256.4	2.26397	7.01820e-5	TUFM	Polycystic ovaries	6.95745e-2	1.59442e+0	70	9702
Brain_Nucleus_accumbens_basal_ganglia	X378.5	-1.34919	7.04438e-5	LYSMD3	Paralytic strabismus	1.80414e-1	5.90353e-1	60	20059
Colon_Sigmoid	X728.1	-2.90782	7.05627e-5	DPP4	Muscular calcification and ossification	7.71778e-2	4.59819e-1	28	17625
Cells_EBV-transformed_lymphocytes	X315.2	1.25001	7.05837e-5	ZDHHC20	Speech and language disorder	2.78730e-1	1.82456e+0	49	22166
Adipose_Subcutaneous	X516	0.472423	7.07809e-5	PTPRCAP	Abnormal sputum	3.27677e-1	1.21467e+0	452	22318
Testis	X614.54	-2.26149	7.07843e-5	ARL6IP4	Abscess or ulceration of vulva	1.24517e-1	5.36937e-1	26	10365
Small_Intestine_Terminal_Ileum	X696	-0.387995	7.07852e-5	HOXD8	Psoriasis and related disorders	6.77601e-2	7.90301e-1	288	19031
Thyroid	X170.1	-1.01139	7.10092e-5	IFITM2	Bone cancer	1.83959e-1	8.05323e-1	226	22528
Skin_Sun_Exposed_Lower_leg	X334.2	-2.10235	7.11746e-5	SLC47A2	Anterior horn cell disease	1.14396e-1	5.14224e-1	38	17257
Artery_Tibial	X227.1	2.19593	7.12148e-5	OXCT2	Benign neoplasm of adrenal gland	3.37700e-2	1.65743e+0	59	22392
Whole_Blood	X497	1.53917	7.12874e-5	SGSH	Bronchitis	8.48388e-2	1.29828e+0	194	17383
Adipose_Subcutaneous	X365.1	-1.66502	7.13307e-5	FAM196A	Open-angle glaucoma	1.38208e-2	8.45585e-1	529	20443
Esophagus_Gastroesophageal_Junction	X286.7	-0.530197	7.13690e-5	SULT1A2	Other and unspecified coagulation defects	1.64906e-1	8.61097e-1	751	15873
Heart_Left_Ventricle	X792	0.74533	7.14410e-5	RUSC2	Abnormal Papanicolaou smear of cervix and cervical HPV	8.09395e-2	1.24694e+0	342	9094
Esophagus_Gastroesophageal_Junction	X560.3	-3.6137	7.15068e-5	KCNJ12	Peritoneal or intestinal adhesions	3.84223e-2	7.10428e-1	78	16064
Colon_Sigmoid	X291	0.450702	7.15787e-5	FCGR3A	Other specified nonpsychotic and/or transient mental disorders	7.12217e-2	1.12128e+0	1372	17533
Skin_Not_Sun_Exposed_Suprapubic	X636.2	-2.37025	7.16545e-5	GOLGA8B	Early onset of delivery	1.14072e-1	6.09919e-1	46	11199
Cells_Transformed_fibroblasts	X523.1	-1.23029	7.18412e-5	RPS19BP1	Gingivitis	2.79190e-2	7.62651e-1	163	21330
Skin_Not_Sun_Exposed_Suprapubic	X242.2	2.38838	7.19186e-5	PAX9	Toxic multinodular goiter	7.24678e-2	1.67195e+0	66	17866
Small_Intestine_Terminal_Ileum	X696.41	-0.435744	7.19779e-5	HOXD8	Psoriasis vulgaris	6.77601e-2	7.67740e-1	227	19031
Brain_Hypothalamus	X374.2	-2.04767	7.20041e-5	RASGEF1A	Lagophthalmos	5.79904e-2	4.44059e-1	24	20046
Cells_Transformed_fibroblasts	X264.1	3.94117	7.20343e-5	ZNF567	Short stature	1.88607e-2	1.45412e+0	84	16572
Brain_Caudate_basal_ganglia	X350.1	-0.613419	7.21206e-5	ZNF124	Abnormal involuntary movements	3.09700e-1	8.29074e-1	415	20508
Spleen	X722.8	0.822204	7.22989e-5	NCKIPSD	Postlaminectomy syndrome	1.09984e-1	1.31428e+0	245	17801
Liver	X531.3	-8.64796	7.23940e-5	SLC25A29	Duodenal ulcer	7.26378e-2	7.19089e-1	109	21823
Skin_Not_Sun_Exposed_Suprapubic	X765	-0.537896	7.25160e-5	PCGF5	Cervical radiculitis	2.87468e-1	7.91883e-1	318	20431
Nerve_Tibial	X994.1	-1.47066	7.25505e-5	DALRD3	Systemic inflammatory response syndrome (SIRS)	3.30868e-2	8.21895e-1	394	20907
Whole_Blood	X579.2	-2.66366	7.27902e-5	GRAMD1C	Splenomegaly	1.60706e-2	8.18236e-1	349	17765
Brain_Putamen_basal_ganglia	X430.2	19.8755	7.28323e-5	FBXL6	Intracerebral hemorrhage	6.04106e-2	1.23139e+0	241	17383
Skin_Sun_Exposed_Lower_leg	X537.1	1.94706	7.28808e-5	HSBP1L1	Lesions of stomach and duodenum	1.08154e-1	1.74856e+0	44	19809
Skin_Sun_Exposed_Lower_leg	X250	-0.361003	7.29450e-5	FKBPL	Diabetes mellitus	8.93668e-2	9.39560e-1	5805	13897
Artery_Tibial	X516.1	0.509441	7.31011e-5	PTPRCAP	Hemoptysis	3.82011e-1	1.23720e+0	376	22318
Artery_Aorta	X272.13	0.327071	7.31648e-5	KLHL32	Mixed hyperlipidemia	1.05606e-1	1.07645e+0	4539	11294
Esophagus_Muscularis	X728.71	-1.67297	7.32499e-5	PNMA1	Contracture of palmar fascia [Dupuytren's disease]	1.42119e-1	6.20344e-1	71	17625
Brain_Cortex	X994.1	-8.11516	7.33606e-5	DALRD3	Systemic inflammatory response syndrome (SIRS)	5.40362e-2	8.22690e-1	394	20907
Brain_Putamen_basal_ganglia	X994.1	-0.404207	7.34054e-5	NCKIPSD	Systemic inflammatory response syndrome (SIRS)	3.48755e-1	8.22245e-1	394	20907
Esophagus_Muscularis	X275.1	-33.4974	7.35047e-5	SH3BGRL2	Disorders of iron metabolism	2.82608e-2	7.36084e-1	109	19909
Thyroid	X781	-1.39189	7.35640e-5	RPS19BP1	Symptoms involving nervous and musculoskeletal systems	4.48158e-2	7.25155e-1	136	22539
Whole_Blood	X381	-0.868594	7.36323e-5	HES7	Otitis media and Eustachian tube disorders	7.70467e-3	8.81707e-1	945	20771
Colon_Transverse	X362.29	99.0454	7.37215e-5	CASP12	Macular degeneration (senile) of retina NOS	2.91050e-2	1.09733e+0	193	20111
Prostate	X516.1	1.04096	7.38359e-5	PTPRCAP	Hemoptysis	1.81545e-1	1.23734e+0	376	22318
Colon_Transverse	X227.2	5.19388	7.38573e-5	MPHOSPH8	Benign neoplasm of parathyroid gland	3.13719e-2	1.85817e+0	28	22392
Spleen	X980	-0.554709	7.40162e-5	LRRC10B	Encounter for long-term (current) use of antibiotics	5.19820e-2	8.71182e-1	830	21424
Stomach	X361.1	-1.08024	7.41572e-5	XPNPEP3	Retinal detachment with retinal defect	1.55641e-1	6.81175e-1	99	20443
Brain_Cerebellum	X516.1	0.341903	7.43945e-5	PTPRCAP	Hemoptysis	5.53363e-1	1.23689e+0	376	22318
Adipose_Visceral_Omentum	X696.4	-0.959948	7.44492e-5	THAP5	Psoriasis	1.32694e-1	7.81226e-1	280	19031
Whole_Blood	X601.3	1.89802	7.44689e-5	SSC5D	Orchitis and epididymitis	5.39442e-2	1.53345e+0	73	8351
Testis	X724.1	2.84149	7.46121e-5	FAM19A2	Disorders of sacrum	6.78630e-2	2.08978e+0	20	17801
Cells_Transformed_fibroblasts	X377	0.95603	7.47554e-5	UTS2B	Disorders of optic nerve and visual pathways	1.59147e-1	1.31305e+0	196	20059
Colon_Transverse	X458.9	-0.278343	7.47603e-5	NCKIPSD	Hypotension NOS	1.81737e-1	9.11348e-1	2113	17257
Ovary	X735.22	-7.45281	7.48018e-5	WFDC10B	Claw toe (acquired)	6.70511e-2	4.18384e-1	20	20000
Heart_Atrial_Appendage	X279.7	-1.78877	7.48298e-5	NFATC2IP	Other immunological findings	2.54152e-2	8.13275e-1	222	20961
Brain_Cerebellum	X204.2	0.851793	7.48371e-5	HES7	Myeloid leukemia	7.33545e-2	1.21161e+0	331	21574
Brain_Caudate_basal_ganglia	X250.23	-4.12737	7.48389e-5	FKBPL	Type 2 diabetes with ophthalmic manifestations	4.88858e-2	8.23091e-1	415	13897
Skin_Not_Sun_Exposed_Suprapubic	X599.2	-0.461374	7.48833e-5	LYSMD3	Retention of urine	3.90105e-2	8.73650e-1	907	16444
Artery_Aorta	X707.1	0.768592	7.50106e-5	SULT1A2	Decubitus ulcer	1.06788e-1	1.15214e+0	795	21465
Uterus	X191.1	-0.797247	7.51872e-5	MIEF2	Cancer of brain and nervous system	1.22514e-1	7.94434e-1	275	22227
Skin_Not_Sun_Exposed_Suprapubic	X656.6	4.8733	7.51991e-5	NT5M	Perinatal disorders of digestive system	5.65074e-2	1.62653e+0	21	23061
Brain_Cerebellar_Hemisphere	X703.1	-1.56191	7.52127e-5	GRAMD1C	Ingrowing nail	5.76374e-2	7.57602e-1	175	21732
Adipose_Visceral_Omentum	X803	0.369458	7.52902e-5	FKRP	Fracture of upper limb	1.86704e-1	1.14325e+0	879	19279
Liver	X470	-0.403192	7.53241e-5	FAM47E	Septal Deviations/Turbinate Hypertrophy	1.40323e-1	8.59313e-1	750	16459
Skin_Sun_Exposed_Lower_leg	X619.5	3.55845	7.53481e-5	PLEKHN1	Noninflammatory disorders of vulva and perineum	2.13262e-2	1.65691e+0	37	10520
Heart_Left_Ventricle	X71	3.57773	7.55553e-5	NPIPB7	Human immunodeficiency virus [HIV] disease	1.67475e-2	1.33868e+0	140	19087
Prostate	X378	-0.922554	7.56868e-5	LCN15	Strabismus and other disorders of binocular eye movements	1.54291e-1	7.58263e-1	216	20059
Colon_Sigmoid	X516.1	0.903268	7.56923e-5	PTPRCAP	Hemoptysis	1.78686e-1	1.23669e+0	376	22318
Artery_Tibial	X712	-1.25783	7.57462e-5	GRAMD1C	Infective connective tissue disorders	2.08459e-1	6.39370e-1	61	18237
Adipose_Visceral_Omentum	X292.1	-1.04372	7.58251e-5	GINS3	Aphasia/speech disturbance	2.18688e-2	8.50270e-1	516	17533
Skin_Sun_Exposed_Lower_leg	X695	-0.883689	7.59587e-5	TARSL2	Erythematous conditions	6.29579e-2	8.66410e-1	797	19985
Esophagus_Mucosa	X425.2	1.34053	7.60174e-5	FUT7	Secondary/extrinsic cardiomyopathies	1.20461e-2	1.16910e+0	729	19395
Nerve_Tibial	X274.2	6.09118	7.60669e-5	ZSWIM7	Crystal arthropathies	6.84293e-2	1.19405e+0	68	21410
Whole_Blood	X286.7	1.40832	7.61856e-5	SH2B1	Other and unspecified coagulation defects	2.74755e-2	1.16414e+0	751	15873
Brain_Hypothalamus	X841	-0.7204	7.62652e-5	SLC25A30	Sprains and strains of back and neck	9.94061e-2	8.27938e-1	495	20163
Thyroid	X256.4	-2.51145	7.62754e-5	FUT7	Polycystic ovaries	6.37857e-2	6.45700e-1	70	9702
Cells_EBV-transformed_lymphocytes	X803.1	1.59205	7.64355e-5	NT5M	Fracture of humerus	6.84818e-2	1.22547e+0	293	19279
Skin_Sun_Exposed_Lower_leg	X771.2	-1.31878	7.66062e-5	LEKR1	Cramp of limb	1.18676e-1	7.09436e-1	107	19194
Adipose_Subcutaneous	X225.1	-3.24572	7.68641e-5	ZDBF2	Benign neoplasm of brain, cranial nerves, meninges	1.84101e-2	7.83559e-1	198	22227
Testis	X714.1	0.73555	7.69208e-5	MSH5	Rheumatoid arthritis	1.42972e-1	1.16857e+0	724	19052
Cells_Transformed_fibroblasts	X458.9	-0.428374	7.70534e-5	NUP62	Hypotension NOS	1.02694e-1	9.12512e-1	2113	17257
Breast_Mammary_Tissue	X290.2	1.39098	7.71686e-5	SERPINA11	Delirium due to conditions classified elsewhere	2.14226e-2	1.24858e+0	339	17533
Thyroid	X967	1.03899	7.72289e-5	ALG12	Adverse effects of sedatives or other central nervous system depressants and anesthetics	1.22228e-1	1.15993e+0	312	17731
Esophagus_Gastroesophageal_Junction	X292.6	-2.27925	7.72780e-5	THAP5	Hallucinations	5.73870e-2	5.62736e-1	57	17533
Skin_Sun_Exposed_Lower_leg	X202.23	-2.34712	7.72840e-5	DHX36	Lymphosarcoma	5.52457e-2	6.89570e-1	90	21574
Pancreas	X724.8	-3.69276	7.73603e-5	SIVA1	Other symptoms referable to back	3.70422e-2	6.14054e-1	43	17801
Artery_Aorta	X703.1	-0.607699	7.74890e-5	GRAMD1C	Ingrowing nail	3.33779e-1	7.58236e-1	175	21732
Esophagus_Muscularis	X516.1	0.511151	7.76356e-5	PTPRCAP	Hemoptysis	3.15504e-1	1.23623e+0	376	22318
Prostate	X200	-0.36365	7.76389e-5	PCGF5	Myeloproliferative disease	6.69941e-2	8.24624e-1	473	21574
Heart_Left_Ventricle	X516	0.686728	7.77049e-5	RPS6KB2	Abnormal sputum	2.12895e-1	1.21326e+0	452	22318
Breast_Mammary_Tissue	X110.12	1.4253	7.78220e-5	HSBP1L1	Althete's foot	1.13193e-1	1.40152e+0	105	19642
Esophagus_Mucosa	X227.2	2.15615	7.79991e-5	MPHOSPH8	Benign neoplasm of parathyroid gland	1.25992e-1	1.78633e+0	28	22392
Artery_Aorta	X244	-0.268354	7.80516e-5	UBE2F	Hypothyroidism	2.10167e-1	9.24640e-1	3156	17866
Brain_Anterior_cingulate_cortex_BA24	X702.1	0.415044	7.81133e-5	MUC6	Actinic keratosis	6.94378e-2	1.12160e+0	1292	19884
Esophagus_Muscularis	X743.4	-10.2833	7.82233e-5	CASP12	Stress fracture	2.37293e-2	6.11821e-1	46	17753
Artery_Tibial	X503	0.586394	7.82593e-5	HMGB1	Pulmonary congestion and hypostasis	1.77131e-1	1.14508e+0	1020	13235
Stomach	X379.4	2.63711	7.85720e-5	RPH3AL	Anomalies of pupillary function	1.57879e-1	2.02710e+0	28	20059
Esophagus_Mucosa	X293.1	-0.552673	7.86130e-5	SULT1A1	Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	2.23700e-1	8.49561e-1	584	21545
Cells_EBV-transformed_lymphocytes	X420	-0.938797	7.88291e-5	SPIRE2	Carditis	7.39042e-2	8.62556e-1	780	19395
Ovary	X275.1	1.73002	7.89059e-5	TTC3	Disorders of iron metabolism	1.86806e-1	1.46761e+0	109	19909
Stomach	X772.6	-3.06446	7.89948e-5	ZNF717	Facial weakness	1.00728e-1	5.41081e-1	48	20241
Whole_Blood	X634	-2.9985	7.90073e-5	FFAR4	Miscarriage; stillbirth	1.51763e-2	6.14856e-1	47	11199
Small_Intestine_Terminal_Ileum	X339	-1.81533	7.91220e-5	NT5M	Other headache syndromes	8.25728e-2	4.53360e-1	28	21737
Cells_Transformed_fibroblasts	X756	-1.89603	7.91574e-5	DPYD	Other congenital musculoskeletal anomalies	6.75528e-2	6.52035e-1	68	22558
