tissue	phecode	beta	p-value	gene	trait	r2	no of cases	no of controls
Skin-SunExposed-Lowerleg	X512.8	1.8768	2.30442e-6	SMG5	Cough	3.85948e-3	1808	3702
Colon-Transverse	X520	10.2948	2.30717e-6	SELP	Disorders of tooth development	1.42210e-2	46	8243
Cells-Transformedfibroblasts	X170	1.20679	2.31969e-6	RNF4	Cancer of bone and connective tissue	8.73227e-2	247	8731
Breast-MammaryTissue	X741.3	-26.9729	2.32475e-6	SDR16C5	Difficulty in walking	1.65267e-2	166	7526
Brain-Cortex	X170.1	94.8484	2.33944e-6	SETD7	Bone cancer	9.63741e-2	136	8731
Brain-Cerebellum	X394	-0.18589	2.42708e-6	RPS11	Rheumatic disease of the heart valves	1.86112e-1	333	7079
Heart-LeftVentricle	X110.1	1.38489	2.48370e-6	SERBP1	Dermatophytosis	1.59140e-2	380	7391
Liver	X571.81	-17.7803	2.50069e-6	SUPT3H	Portal hypertension	8.23654e-2	131	6421
Brain-FrontalCortex-BA9	X385	0.186681	2.51717e-6	SLC35D3	Other disorders of middle ear and mastoid	5.13185e-2	38	8088
Brain-Cerebellum	X574.2	9.89899	2.52233e-6	TAS1R2	Calculus of bile duct	8.83716e-2	67	8056
Artery-Tibial	X750.2	3.04745	2.57556e-6	RHBG	Lower gastrointestinal congenital anomalies	7.25076e-3	35	8409
Brain-Cerebellum	X568.1	5.20791	2.58736e-6	RNASE10	Peritoneal adhesions (postoperative) (postinfection)	1.29251e-2	96	7242
Brain-Hippocampus	X577.1	-0.0608121	2.64617e-6	SDC4	Acute pancreatitis	2.29437e-2	151	8624
Brain-Hippocampus	X574.11	6.69569	2.68066e-6	RNF170	Cholelithiasis with acute cholecystitis	1.14598e-3	25	8056
Pituitary	X368.4	0.845371	2.70718e-6	SCRG1	Visual field defects	8.75829e-3	65	8248
Skin-SunExposed-Lowerleg	X803.3	-55.1771	2.74900e-6	SMAD7	Fracture of clavicle or scapula	1.55108e-3	69	7283
Brain-FrontalCortex-BA9	X418.1	1.27866	2.78262e-6	SYNGR1	Precordial pain	8.71007e-2	92	4613
Muscle-Skeletal	X296.1	0.625103	2.79865e-6	STAB2	Bipolar	2.32953e-1	215	5392
Testis	X649.1	0.216163	2.92299e-6	RCOR1	Diabetes or abnormal glucose tolerance complicating pregnancy	2.06301e-2	45	8965
SmallIntestine-TerminalIleum	X722.9	-5.1231	2.93015e-6	SUDS3	Other and unspecified disc disorder	4.79180e-2	35	6852
Artery-Coronary	X961.1	-5.19259	2.94299e-6	SLC24A3	Poisoning/allergy of sulfonamides	8.44574e-3	24	6561
Muscle-Skeletal	X372	-17.1878	2.98843e-6	RNASET2	Disorders of conjunctiva	6.50077e-3	34	7798
Colon-Transverse	X536	-2.59872	2.99271e-6	RNF214	Disorders of function of stomach	9.69581e-3	337	7579
Brain-Cortex	X514.2	1.46825	3.02863e-6	RBM46	Solitary pulmonary nodule	2.00470e-2	43	7886
Brain-Cortex	X817	-61.5194	3.04594e-6	TAX1BP3	Concussion	9.34034e-2	29	8639
SmallIntestine-TerminalIleum	X717	8.65628	3.11355e-6	SYNE3	Polymyalgia Rheumatica	3.72983e-3	58	9052
Brain-CerebellarHemisphere	X420.21	13.3747	3.12826e-6	SPSB2	Acute pericarditis	9.91482e-3	34	7787
Muscle-Skeletal	X711	2.76991	3.22731e-6	SAMD12	Arthropathy associated with infections	9.98603e-3	108	7311
Spleen	X695.7	-90.4072	3.27577e-6	SMIM14	Prurigo and Lichen	4.83292e-2	23	7590
Artery-Tibial	X871.2	6.9604	3.32394e-6	RHAG	Open wound of finger(s)	7.64126e-3	50	7534
Heart-AtrialAppendage	X722.8	8.63506	3.35726e-6	RPL35	Postlaminectomy syndrome	2.15325e-3	118	6852
Brain-Anteriorcingulatecortex-BA24	X189.4	0.181715	3.39270e-6	SLC5A5	Malignant neoplasm of other urinary organs	5.62636e-2	91	8503
Skin-SunExposed-Lowerleg	X741	1.96971	3.41348e-6	SCGB1A1	Symptoms and disorders of the joints	2.11930e-2	686	7526
Esophagus-GastroesophagealJunction	X374	0.143706	3.45036e-6	SPSB2	Other disorders of eyelids	1.62846e-1	194	7798
Testis	X381.9	-2.03434	3.46173e-6	SV2C	Otorrhea	3.71483e-2	36	8088
Nerve-Tibial	X530.13	6.65304	3.47662e-6	SLC35D3	Barrett's esophagus	2.43120e-2	42	5130
Brain-Hypothalamus	X374.3	-3.99053	3.55940e-6	SAMD9	Ptosis of eyelid	1.57142e-2	75	7798
Skin-NotSunExposed-Suprapubic	X159.2	-6.26884	3.72644e-6	SAMHD1	Malignant neoplasm of small intestine, including duodenum	9.48482e-3	26	8073
Esophagus-GastroesophagealJunction	X803.3	2.18352	3.74619e-6	SERHL2	Fracture of clavicle or scapula	7.58423e-2	69	7283
Nerve-Tibial	X525	-28.1381	3.76294e-6	SAMHD1	Other diseases of the teeth and supporting structures	1.23316e-2	78	8243
Cells-EBV-transformedlymphocytes	X112.3	0.201283	3.80924e-6	SLC14A1	Candidiasis of skin and nails	1.25518e-1	47	7391
Nerve-Tibial	X840	-1.03185	3.81647e-6	SDK2	Sprains and strains	2.95437e-2	503	7712
Brain-FrontalCortex-BA9	X790	-17.1158	3.82031e-6	SLC3A2	Nonspecific findings on examination of blood	6.37475e-2	49	7554
Brain-FrontalCortex-BA9	X789.1	-18.1397	3.83640e-6	SLC3A2	Persistent vomiting	6.37475e-2	43	5912
Lung	X287.31	-3.40133	3.87000e-6	RPS11	Primary thrombocytopenia	3.21001e-2	34	5981
Breast-MammaryTissue	X695.7	-3.53158	3.88313e-6	SLC14A1	Prurigo and Lichen	5.17286e-2	23	7590
Testis	X459	2.88977	3.89574e-6	SEC62	Other disorders of circulatory system	6.41714e-3	318	6597
Brain-Caudate-basalganglia	X695.7	2.91197	3.90357e-6	SUCLG1	Prurigo and Lichen	2.89679e-2	23	7590
Esophagus-Muscularis	X942	-14.1166	3.94654e-6	SUPT7L	Infusion and transfusion reaction	1.10953e-2	38	7230
Brain-Hippocampus	X286.81	-6.38309	3.98430e-6	SUB1	Primary hypercoagulable state	1.95632e-3	80	5981
Thyroid	X279.7	-1.80275	3.99096e-6	SCRN2	Other immunological findings	1.38693e-1	58	8183
Brain-Hypothalamus	X646	2.69451	3.99786e-6	RBM20	Other complications of pregnancy NEC	2.47943e-2	22	9082
Brain-Putamen-basalganglia	X385	-43.694	4.00781e-6	RILPL1	Other disorders of middle ear and mastoid	1.23238e-1	38	8088
Heart-AtrialAppendage	X558	-1.48345	4.03341e-6	RNASEH1	Noninfectious gastroenteritis	1.81479e-2	328	5956
Testis	X198.6	-1.88468	4.06002e-6	RBP4	Secondary malignancy of bone	7.81113e-2	231	6274
Brain-Putamen-basalganglia	X747.13	0.157673	4.06109e-6	SLC39A4	Congenital anomalies of great vessels	5.84428e-2	58	8634
Colon-Sigmoid	X244	2.96677	4.09718e-6	RPL28	Hypothyroidism	4.98775e-3	1278	7001
Pancreas	X184.11	7.05051	4.13623e-6	SUDS3	Malignant neoplasm of ovary	8.03460e-3	85	7989
Heart-AtrialAppendage	X365.2	-4.11344	4.15351e-6	RPUSD4	Primary angle-closure glaucoma	3.12926e-2	33	7724
Skin-SunExposed-Lowerleg	X290.1	-1.55829	4.17072e-6	SCIMP	Dementias	1.61137e-2	297	6654
Artery-Coronary	X242.2	-4.90407	4.18577e-6	SLC24A3	Toxic multinodular goiter	8.44574e-3	27	7001
Skin-NotSunExposed-Suprapubic	X279.7	-1.25646	4.23156e-6	SCRN2	Other immunological findings	2.48765e-1	58	8183
Cells-EBV-transformedlymphocytes	X290.3	10.9522	4.23178e-6	SPZ1	Other persistent mental disorders due to conditions classified elsewhere	7.97954e-2	278	6654
Esophagus-GastroesophagealJunction	X227.1	10.5964	4.24726e-6	SOD1	Benign neoplasm of adrenal gland	6.65609e-2	22	8574
Brain-CerebellarHemisphere	X279.7	-2.73503	4.26750e-6	SCRN2	Other immunological findings	2.75441e-2	58	8183
Pituitary	X751.22	-2.24014	4.27006e-6	SLC24A3	Other specified congenital anomalies of kidney	2.49677e-2	34	8409
SmallIntestine-TerminalIleum	X526.41	-3.73088	4.28046e-6	SFRP1	Temporomandibular joint disorder, unspecified	1.62112e-2	22	8243
Ovary	X592.1	0.547265	4.32531e-6	SIGLEC15	Cystitis	3.84715e-2	145	5793
Brain-Caudate-basalganglia	X296.22	24.4884	4.42986e-6	SPDYE4	Major depressive disorder	2.54815e-2	415	5392
Thyroid	X244.2	1.94934	4.43286e-6	SLC4A3	Acquired hypothyroidism	5.11352e-2	73	7001
Brain-Anteriorcingulatecortex-BA24	X907	0.175431	4.44579e-6	RASD2	Injuries to the nervous system	4.52103e-2	79	8942
Artery-Tibial	X722	1.39547	4.46550e-6	SLC45A4	Intervertebral disc disorders	2.34214e-2	800	6852
Brain-Caudate-basalganglia	X110	21.0989	4.48586e-6	SPDYE4	Dermatophytosis / Dermatomycosis	2.54815e-2	398	7391
Stomach	X464	1.39247	4.51887e-6	SOHLH1	Acute sinusitis	2.97248e-2	589	6770
Spleen	X381.1	7.03552	4.60717e-6	SCN9A	Otitis media	7.75310e-3	213	8088
Brain-Hippocampus	X342	1.78327	4.62179e-6	TACC1	Hemiplegia	4.93411e-3	138	6544
Thyroid	X323.8	-29.0012	4.66624e-6	SUSD4	Encephalitis, non-infectious	3.19551e-3	22	8848
Brain-Hippocampus	X727.4	-0.587579	4.67653e-6	SLC45A4	Ganglion and cyst of synovium, tendon, and bursa	1.37532e-2	69	6730
Colon-Transverse	X536.8	-3.75802	4.67856e-6	RNF214	Dyspepsia and other specified disorders of function of stomach	9.69581e-3	125	7579
Brain-Hippocampus	X300.1	0.851732	4.68677e-6	RPRML	Anxiety disorder	3.74737e-2	959	5392
Brain-FrontalCortex-BA9	X270.38	3.35375	4.72115e-6	SIM1	Other specified disorders of plasma protein metabolism	1.28057e-3	42	8239
Skin-SunExposed-Lowerleg	X279.7	-0.999117	4.72678e-6	SCRN2	Other immunological findings	3.48745e-1	58	8183
Esophagus-GastroesophagealJunction	X704.1	-4.37745	4.76560e-6	SORL1	Alopecia	1.87297e-3	51	8443
Brain-Cortex	X642	1.43497	4.83504e-6	RBM46	Hypertension complicating pregnancy, childbirth, and the puerperium	2.00470e-2	61	9047
Pituitary	X750.21	44.3481	4.83794e-6	STX16	Congenital anomalies of intestine	3.79549e-2	20	8409
Brain-Putamen-basalganglia	X364	-1.07699	4.83945e-6	STXBP6	Corneal opacity and other disorders of cornea	1.30524e-1	60	7724
Esophagus-Muscularis	X795.8	-32.5512	4.89372e-6	SLC25A17	Abnormal tumor markers	1.18662e-2	79	8967
Brain-FrontalCortex-BA9	X367.8	7.11851	4.91071e-6	REG4	Hypermetropia	7.10701e-3	24	8335
Breast-MammaryTissue	X480.13	0.437526	4.93930e-6	SAMD12	MRSA pneumonia	2.84124e-2	82	6217
Artery-Aorta	X170	1.71718	4.99002e-6	RNF4	Cancer of bone and connective tissue	3.28886e-2	247	8731
Esophagus-Mucosa	X977	13.7098	5.06815e-6	SYCP3	Personal history of allergy to medicinal agents	1.26837e-2	30	6561
Adipose-Subcutaneous	X962.1	-3.7699	5.07825e-6	SLC12A9	Adrenal cortical steroids causing adverse effects in therapeutic use	1.84865e-2	94	6561
Brain-CerebellarHemisphere	X362.3	-5.82726	5.08968e-6	SLC39A5	Other nondiabetic retinopathy	6.97400e-2	105	7724
Artery-Tibial	X818.2	-2.12924	5.11949e-6	SCN4B	Subarachnoid hemorrhage (injury)	4.65661e-2	37	8639
Esophagus-Muscularis	X337	3.00544	5.15457e-6	SLC7A5	Disorders of the autonomic nervous system	6.23833e-3	90	6544
Colon-Transverse	X287.1	-9.83282	5.17571e-6	SIX4	Spontaneous ecchymoses	7.61548e-3	21	5981
Brain-FrontalCortex-BA9	X364	-10.2546	5.23426e-6	SIGLEC9	Corneal opacity and other disorders of cornea	1.92425e-3	60	7724
Brain-FrontalCortex-BA9	X655.1	-0.29091	5.24916e-6	RTCB	Abnormality in fetal heart rate or rhythm	1.22080e-1	31	8959
Brain-Cerebellum	X709.3	12.9263	5.25363e-6	ROMO1	Systemic sclerosis	3.85432e-3	22	8930
Stomach	X70.2	-22.2133	5.29583e-6	SKA1	Viral hepatitis B	9.98366e-3	36	7233
Heart-LeftVentricle	X202	2.18533	5.30005e-6	RSF1	Cancer of other lymphoid, histiocytic tissue	2.15213e-3	450	8016
AdrenalGland	X253.1	6.20747	5.48261e-6	RPL38	Pituitary hyperfunction	2.48496e-2	33	7558
Brain-Anteriorcingulatecortex-BA24	X594	-0.494924	5.55046e-6	RPL30	Urinary calculus	4.77826e-2	463	8065
Esophagus-Mucosa	X687.1	2.81229	5.58612e-6	SEMG2	Rash and other nonspecific skin eruption	7.80300e-3	718	6861
Brain-FrontalCortex-BA9	X535.2	-3.10875	5.60543e-6	STK16	Atrophic gastritis	2.00098e-2	34	7579
Esophagus-GastroesophagealJunction	X374.3	0.161636	5.63395e-6	SPSB2	Ptosis of eyelid	1.62846e-1	75	7798
Muscle-Skeletal	X41.11	-1.78135	5.72620e-6	RNF2	Methicillin sensitive Staphylococcus aureus	1.17223e-2	371	6607
Stomach	X155.1	3.81634	5.72880e-6	SRP54	Malignant neoplasm of liver, primary	1.77596e-2	90	8073
Esophagus-GastroesophagealJunction	X279.11	-10.804	5.76824e-6	ST6GALNAC5	Deficiency of humoral immunity	2.40734e-2	57	8183
Cells-EBV-transformedlymphocytes	X279.7	-1.23864	5.77110e-6	SCRN2	Other immunological findings	3.29835e-1	58	8183
Cells-EBV-transformedlymphocytes	X303.4	17.3438	5.77422e-6	SPZ1	Somatoform disorder	7.97954e-2	50	5392
Esophagus-GastroesophagealJunction	X253.4	24.565	5.81274e-6	SLC30A3	Anterior pituitary disorders	7.11658e-3	59	7558
Brain-Cortex	X446.9	6.31727	5.81598e-6	SDR39U1	Arteritis NOS	1.24652e-2	48	6676
Artery-Coronary	X513.31	-2.43148	5.82474e-6	SPAG5	Apnea	1.72314e-2	32	7861
Testis	X426.92	0.913688	5.83348e-6	RNF130	Cardiac defibrillator in situ	5.11320e-2	310	4456
Cells-EBV-transformedlymphocytes	X706.8	-2.73648	5.84939e-6	TAF1A	Other specified diseases of sebaceous glands	2.26852e-2	52	8052
Brain-Hypothalamus	X530.9	-9.15302	5.86014e-6	RNF144B	Heartburn	1.85476e-3	53	5130
Esophagus-GastroesophagealJunction	X279.7	-1.84455	5.87313e-6	SCRN2	Other immunological findings	1.31578e-1	58	8183
Nerve-Tibial	X790	-3.76653	5.88529e-6	ROPN1	Nonspecific findings on examination of blood	1.64640e-1	49	7554
Skin-NotSunExposed-Suprapubic	X519.1	6.45714	5.89461e-6	RPL18	Tracheostomy complications	2.57096e-2	25	8048
Brain-Cortex	X193	0.0703301	5.90351e-6	RDH10	Thyroid cancer	7.34708e-3	97	8718
Artery-Coronary	X625.1	-2.11872	5.91873e-6	RPS6KC1	Dyspareunia	1.42059e-1	32	8364
Ovary	X696.42	-1.99539	5.95760e-6	TACR1	Psoriatic arthropathy	7.33574e-2	43	7172
Brain-Hippocampus	X803.3	0.0660517	5.97811e-6	RCOR2	Fracture of clavicle or scapula	1.26064e-2	69	7283
Pancreas	X285.22	1.12512	5.99868e-6	RPS15	Anemia in neoplastic disease	8.60080e-3	421	4684
Brain-Cortex	X520.2	-36.6725	6.00555e-6	SNTB1	Disturbances in tooth eruption	1.23489e-1	44	8243
Brain-Cerebellum	X250.11	10.2997	6.17822e-6	RPS6KA1	Type 1 diabetes with ketoacidosis	4.40741e-3	48	4936
Nerve-Tibial	X574.3	2.68984	6.18597e-6	STX16	Cholecystitis without cholelithiasis	4.29734e-3	139	8056
Brain-Hippocampus	X577.2	-0.0696966	6.21953e-6	SDC4	Chronic pancreatitis	2.29437e-2	65	8624
Esophagus-Muscularis	X327.41	1.45898	6.25963e-6	SEC24C	Organic or persistent insomnia	6.30801e-3	32	6920
Nerve-Tibial	X297.1	-26.4091	6.29928e-6	SAMHD1	Suicidal ideation	1.23316e-2	44	5392
AdrenalGland	X289.8	5.4149	6.29991e-6	STK16	Polycythemia vera, secondary	1.69164e-2	45	5838
Esophagus-Mucosa	X270.3	-1.24913	6.33035e-6	S1PR5	Disorders of plasma protein metabolism	6.71836e-2	203	8239
Brain-Anteriorcingulatecortex-BA24	X594.2	-0.234334	6.33830e-6	SCG5	Calculus of lower urinary tract	3.16894e-2	31	8065
Brain-Cortex	X433.2	1.20112	6.36794e-6	SRP72	Occlusion of cerebral arteries	2.31883e-3	366	6934
Skin-SunExposed-Lowerleg	X385	-3.9444	6.44963e-6	SEPT11	Other disorders of middle ear and mastoid	1.55515e-2	38	8088
Brain-Anteriorcingulatecortex-BA24	X465	0.86714	6.46688e-6	SLC35D2	Acute upper respiratory infections of multiple or unspecified sites	1.90828e-2	905	6770
Pituitary	X305.2	-2.08266	6.53252e-6	STC1	Eating disorder	1.11895e-2	26	5392
Brain-FrontalCortex-BA9	X291.4	3.14767	6.54349e-6	SCRN2	Specific nonpsychotic mental disorders due to brain damage	1.07776e-1	22	6654
Heart-LeftVentricle	X317.1	-21.5543	6.61440e-6	SLA2	Alcoholism	8.73710e-3	184	7008
Testis	X427.12	0.781123	6.64434e-6	RNF130	Paroxysmal ventricular tachycardia	5.11320e-2	436	4456
Skin-SunExposed-Lowerleg	X720.1	-1.29176	6.64542e-6	RNF31	Spinal stenosis of lumbar region	7.53920e-3	381	6852
Cells-EBV-transformedlymphocytes	X817	3.61148	6.70268e-6	REN	Concussion	8.51463e-3	29	8639
Brain-Hypothalamus	X459.9	-5.85093	6.80361e-6	SUCLG1	Circulatory disease NEC	1.16062e-2	232	6597
Colon-Transverse	X288.3	4.27339	6.84434e-6	RNF2	Eosinophilia	8.00027e-3	35	5851
Esophagus-Muscularis	X255.21	2.26724	6.84765e-6	SMAD2	Glucocorticoid deficiency	7.62485e-2	111	7558
Brain-Hypothalamus	X433.5	20.734	6.88815e-6	SEMG2	Cerebral aneurysm	2.80086e-2	94	6934
Cells-Transformedfibroblasts	X117.1	8.00611	6.90069e-6	SIX4	Histoplasmosis	1.19601e-3	30	7391
Pancreas	X707.3	5.62734	6.91903e-6	SLFN12	Chronic ulcer of unspecified site	1.57376e-3	106	8269
Brain-Cerebellum	X249	1.22871	6.93510e-6	SPDYE4	Secondary diabetes mellitus	5.65650e-2	80	4936
Pancreas	X228	8.67315	6.93682e-6	SPATA3	Hemangioma and lymphangioma, any site	7.67984e-3	60	8746
Brain-FrontalCortex-BA9	X250	-0.424527	6.96274e-6	SHROOM3	Diabetes mellitus	1.61453e-2	3220	4936
Liver	X579.2	-17.2473	6.96392e-6	SUPT3H	Splenomegaly	8.23654e-2	132	6905
Pituitary	X580.3	-1.81078	7.00089e-6	RASA1	Nephritis and nephropathy without mention of glomerulonephritis	1.01965e-1	264	5644
Brain-Putamen-basalganglia	X306	-0.058877	7.00628e-6	SDR16C5	Other mental disorder	1.61772e-1	34	5392
Cells-Transformedfibroblasts	X480.3	-5.95036	7.03749e-6	RBM23	Pneumonia due to fungus (mycoses)	2.94307e-2	49	6217
Liver	X440.2	-0.828496	7.17578e-6	TBCE	Atherosclerosis of the extremities	1.24975e-1	353	6676
Artery-Coronary	X715	-0.319233	7.24338e-6	ROR2	Other inflammatory spondylopathies	8.10746e-2	75	6923
Spleen	X530.12	-2.8992	7.42951e-6	RHNO1	Ulcer of esophagus	7.50583e-2	38	5130
Breast-MammaryTissue	X876	-9.40437	7.44992e-6	SHANK2	Posttraumatic wound infection not elsewhere classified	2.38477e-3	43	7534
Artery-Coronary	X213	8.09461	7.53970e-6	SCRG1	Benign neoplasm of bone and articular cartilage	2.40796e-3	36	8987
Artery-Tibial	X38	-0.773719	7.61036e-6	SCRIB	Septicemia	2.47508e-2	1216	6607
Esophagus-Mucosa	X433.8	1.60725	7.69365e-6	SYNPO2L	Late effects of cerebrovascular disease	4.94580e-2	320	6934
Brain-Cerebellum	X180	0.0294372	7.70088e-6	SCIMP	Cervical cancer and dysplasia	1.99445e-1	103	7989
Nerve-Tibial	X389.1	1.4068	7.75467e-6	RYR3	Sensorineural hearing loss	4.39584e-3	495	7899
AdrenalGland	X360	-2.16274	7.77653e-6	SREK1IP1	Disorders of the globe	7.94939e-2	23	7724
Artery-Aorta	X426.3	0.878581	7.86312e-6	SLC17A6	Bundle branch block	7.61872e-2	228	4456
AdrenalGland	X733.4	-33.5501	7.93776e-6	SLC9C1	Aseptic necrosis of bone	1.34203e-2	109	8372
Brain-Cortex	X454.11	3.2262	7.97190e-6	RFPL4B	Varicose veins of lower extremity, symptomtic	2.42141e-2	66	6144
Spleen	X575.2	6.88211	8.01780e-6	RNF10	Obstruction of bile duct	4.62537e-2	93	8056
Pancreas	X394.4	32.6791	8.08054e-6	SLC29A4	Acute rheumatic heart disease	3.49121e-2	21	7079
Esophagus-Muscularis	X496.3	-1.80443	8.09372e-6	SIX4	Bronchiectasis	1.87715e-2	124	6820
Adipose-Subcutaneous	X440.2	1.51202	8.11078e-6	SLC5A12	Atherosclerosis of the extremities	2.15789e-2	353	6676
Esophagus-Muscularis	X876	15.7263	8.15608e-6	SYT4	Posttraumatic wound infection not elsewhere classified	2.71122e-2	43	7534
Heart-AtrialAppendage	X789.1	-6.91651	8.24293e-6	SETD7	Persistent vomiting	1.10693e-3	43	5912
Pancreas	X526.9	7.63066	8.31608e-6	SLC2A2	Jaw disease NOS	4.57203e-3	38	8243
Artery-Aorta	X709.2	-2.49661	8.32780e-6	RORB	Sicca syndrome	1.90135e-2	44	8930
AdrenalGland	X690	-1.6328	8.35061e-6	SLC6A1	Erythematosquamous dermatosis	1.49040e-1	97	7590
AdrenalGland	X690.1	-1.6328	8.35061e-6	SLC6A1	Seborrheic dermatitis	1.49040e-1	97	7590
Brain-Cortex	X520	-35.9435	8.42328e-6	SNTB1	Disorders of tooth development	1.23489e-1	46	8243
Artery-Aorta	X818.2	-4.03987	8.46920e-6	RGS9	Subarachnoid hemorrhage (injury)	7.28631e-3	37	8639
Colon-Transverse	X965.1	-2.88589	8.51981e-6	SERHL2	Opiates and related narcotics causing adverse effects in therapeutic use	1.08048e-1	38	6561
Ovary	X592.11	0.802528	8.53294e-6	SIGLEC15	Acute cystitis	3.84715e-2	21	5793
Ovary	X172	0.877747	8.55344e-6	SCARB2	Skin cancer	1.48378e-3	896	7391
Brain-Cerebellum	X364.2	5.29162	8.66195e-6	SIM1	Corneal edema	4.38906e-2	20	7724
AdrenalGland	X711	0.957567	8.68010e-6	SAMD12	Arthropathy associated with infections	1.77072e-1	108	7311
Muscle-Skeletal	X290.16	4.69902	8.68296e-6	RNF31	Vascular dementia	4.20646e-2	54	6654
Brain-Putamen-basalganglia	X465	0.617674	8.69975e-6	SLC14A2	Acute upper respiratory infections of multiple or unspecified sites	1.99005e-2	905	6770
Brain-Putamen-basalganglia	X286.81	-3.60206	8.72881e-6	SUB1	Primary hypercoagulable state	2.60270e-3	80	5981
Nerve-Tibial	X717	2.08822	8.73259e-6	SREK1IP1	Polymyalgia Rheumatica	5.81374e-2	58	9052
Esophagus-Mucosa	X10	-6.43302	8.79771e-6	SNX5	Tuberculosis	3.13468e-2	21	6607
Brain-Nucleusaccumbens-basalganglia	X480.3	-7.21042	8.81390e-6	RBM23	Pneumonia due to fungus (mycoses)	2.87751e-2	49	6217
Thyroid	X965.1	-3.07922	8.87224e-6	SERHL2	Opiates and related narcotics causing adverse effects in therapeutic use	5.36523e-2	38	6561
Artery-Tibial	X281.9	3.61929	8.88780e-6	RBPMS	Deficiency anemias	3.11862e-3	72	4684
Brain-Putamen-basalganglia	X506	0.0587413	8.90217e-6	SNAPC4	Empyema and pneumothorax	6.95848e-2	386	5061
Thyroid	X170	1.97347	8.91392e-6	RNF4	Cancer of bone and connective tissue	3.05912e-2	247	8731
Brain-Cortex	X259.2	-2.64865	9.12232e-6	TAS1R1	Carcinoid syndrome	7.87671e-3	20	7558
Spleen	X442.3	23.8709	9.16577e-6	SLC16A11	Aneurysm of artery of lower extremity	5.61533e-2	34	6676
Artery-Tibial	X278.4	1.53511	9.24356e-6	TAOK3	Abnormal weight gain	5.64122e-2	124	6887
Esophagus-Mucosa	X270	-1.14509	9.28226e-6	S1PR5	Disorders of protein plasma/amino-acid transport and metabolism	6.71836e-2	237	8239
Cells-EBV-transformedlymphocytes	X706.2	1.76874	9.34796e-6	SCNN1A	Sebaceous cyst	5.86680e-3	209	8052
Brain-Nucleusaccumbens-basalganglia	X426.2	1.04284	9.34849e-6	SLC5A9	Atrioventricular [AV] block	9.24369e-2	302	4456
Artery-Coronary	X480.3	-3.62154	9.50852e-6	RBM23	Pneumonia due to fungus (mycoses)	5.62805e-2	49	6217
Pituitary	X965.1	-3.91839	9.51311e-6	SERHL2	Opiates and related narcotics causing adverse effects in therapeutic use	6.49813e-2	38	6561
Pancreas	X170	0.922874	9.55496e-6	RNF4	Cancer of bone and connective tissue	1.83231e-1	247	8731
AdrenalGland	X781.2	-4.07945	9.57273e-6	S1PR3	Abnormal posture	9.59704e-3	45	8914
Artery-Coronary	X690	-1.91007	9.67498e-6	SLC6A1	Erythematosquamous dermatosis	1.32726e-1	97	7590
Artery-Coronary	X690.1	-1.91007	9.67498e-6	SLC6A1	Seborrheic dermatitis	1.32726e-1	97	7590
Skin-NotSunExposed-Suprapubic	X241.1	5.75848	9.71331e-6	S100A16	Nontoxic uninodular goiter	3.69163e-3	111	7001
Esophagus-GastroesophagealJunction	X370	1.90494	9.73491e-6	RNASEH1	Keratitis	2.71476e-2	159	7798
Esophagus-Muscularis	X358.1	1.45931	9.80785e-6	SEC24C	Myasthenia gravis	6.30801e-3	20	7798
Skin-NotSunExposed-Suprapubic	X585.34	2.21382	9.85822e-6	SLC38A11	Chronic Kidney Disease, Stage IV	3.45205e-2	329	5644
Brain-CerebellarHemisphere	X803.21	3.67145	9.86595e-6	RCN2	Colles' fracture	8.99967e-2	29	7283
Brain-Cerebellum	X459.9	2.27182	9.93340e-6	RARRES2	Circulatory disease NEC	1.60396e-2	232	6597
Stomach	X279.7	-1.23706	9.99442e-6	SCRN2	Other immunological findings	2.43469e-1	58	8183
Artery-Coronary	X353.1	-3.42458e16	0.00000e+0	WFDC2	Nerve plexus lesions	7.64170e-3	20	7504
Colon-Transverse	X758.1	2.11874e16	0.00000e+0	ZBED3	Chromosomal anomalies	2.77872e-3	21	8947
Liver	X281.9	1.08835e16	0.00000e+0	TRUB1	Deficiency anemias	5.61535e-3	72	4684
Spleen	X458.1	3.22161e16	0.00000e+0	ZNF540	Orthostatic hypotension	6.34238e-2	190	6597
Spleen	X446.9	-5.10964e16	0.00000e+0	ZNF540	Arteritis NOS	6.34238e-2	48	6676
Spleen	X459.9	2.04645e15	0.00000e+0	ZNF540	Circulatory disease NEC	6.34238e-2	232	6597
Spleen	X446	-3.78215e16	0.00000e+0	ZNF540	Polyarteritis nodosa and allied conditions	6.34238e-2	122	6676
Spleen	X446.4	-154876000000000	0.00000e+0	ZNF540	Wegener's granulomatosis	6.34238e-2	30	6676
Spleen	X580.31	-351841000000000	0.00000e+0	ZNF540	Nephritis and nephropathy in diseases classified elsewhere	6.34238e-2	157	5644
Brain-Putamen-basalganglia	X499	2.68112	1.13890e-35	WNT2	Cystic fibrosis	1.43957e-1	71	9033
Brain-Putamen-basalganglia	X480.12	1.46802	1.29403e-20	WNT2	Pseudomonal pneumonia	1.43957e-1	105	6217
Brain-Putamen-basalganglia	X496.3	1.15027	7.19858e-16	WNT2	Bronchiectasis	1.43957e-1	124	6820
Brain-Putamen-basalganglia	X480.13	1.43445	1.11505e-15	WNT2	MRSA pneumonia	1.43957e-1	82	6217
Brain-Putamen-basalganglia	X277	1.24154	1.70604e-13	WNT2	Other disorders of metabolism	1.43957e-1	88	8608
